"group","module","id","name","description","version","active","link","free","limited","restricted"
"Estratégico","Prestaciones de salud",1,"Estado Situacional - Cardiología","Reporte que permite ver el estado situacional de Cardiología a nivel institucional.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMDhiOGRhZDMtYjQ0Mi00MTI1LTg0ZDMtNWUxYWU1NjQwNGVlIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Prestaciones de salud",2,"Estado situacional - Dengue (Interno)","Reporte que describe la situación actual del dengue en EsSalud, incluyendo el número de casos, hospitalizaciones, defunciones y medidas de control implementadas para prevenir su propagación","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiYmNjNDVhNjAtNzY0Yy00Njg3LWFlZjctZGY0NjIxZTMwNzkxIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Prestaciones de salud",3,"Estado situacional - Oncología","Reporte que permite observar el estado situacional por Oncología en EsSalud.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNmZlZDcxM2QtZWYxNC00ODFmLTgwNzQtMzY2Mjk5YjQ1ZWMxIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","CEABE y Logística",4,"Estado situacional de locadores","Reporte que muestra información sobre el estado situacional de locadores por redes, función y profesión.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNThkNDgxNTctZjg1Yy00NGVmLWJmNDItOGVjYjUwYjczM2M4IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Proyectos en construcción",5,"Estado situacional del Dengue - Pruebas","Estado situacional del Dengue - Pruebas","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiYzZjM2RiMWEtYzEwZC00YzdmLWI3YTQtY2M2MmNkNmIzNTU1IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Ex UGAD",6,"Indicadores de prestaciones de salud - SES","Indicadores de prestaciones de salud - SES","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNDYxZmMxMWEtZjI5Yy00OTlkLWE2NDAtNTY4ZDk5YmFhZmYzIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Ex UGAD",8,"Indicadores de salud renal - SES","Indicadores de salud renal - SES","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiOTI4NjdlYmQtNDRjNS00YWY4LWFjNGMtZmQzMmNjYWY5MDY5IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Prestaciones de salud",7,"Indicadores de Salud Renal","Reporte según tratamiento de sustitución renal, vigilancia en salud renal y, pacientes y tratamiento muestra indicadores de estructura, indicadores de proceso e indicadores de resultado para cada caso.","1.0",False,"https://app.powerbi.com/view?r=eyJrIjoiNDJjMzJkYjEtOGUyNC00ZGYxLWEyZjgtOGU3YzVmNjMyZTEwIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Estratégico","Ex UGAD",9,"Sala situacional de EsSalud","Sala situacional de EsSalud","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNDcyMjQyOTYtOWZhNy00YWUzLThjYjEtNGU2MDZlNDU2MjFlIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","Administrativo",10,"Gestión sin colas","Reporte que cuenta con información del sistema de Gestión sin Colas a nivel de oficina sobre los nuevos usuarios, cantidad de tickets generados como también los tiempos de espera, servicio y respuesta.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiZDQ3ZWI2M2YtNGE1Yy00NjYzLWFiMmMtNjM4ZjhlNDEyZWMzIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Administrativo",11,"Mi Consulta","Reporte que permite visualizar la información relacionada a la aplicación EsSalud - MiConsulta. Se puede apreciar el avance de registros en la aplicación, el estado de las IPRESS en su condición de citas habilitadas por la aplicación.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiODEyYTFlMGYtMzFiNC00NTFjLWI2MDgtYWQwYTAyNjZjNGQyIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Administrativo",12,"Pedidos del Congreso de la República","Reporte que hace seguimiento de los pedidos realizados por el congreso de la república y otras entidades.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiZGU0MWRkMGItMWY1Zi00Mjk1LTgwOTItNmUzMzlhN2UzNzNjIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,False,True
