"ubigeo_inei";"departamento";"provincia";"distrito";"region";"macroregion_inei";"macroregion_minsa"
10101;"AMAZONAS";"CHACHAPOYAS";"CHACHAPOYAS";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10102;"AMAZONAS";"CHACHAPOYAS";"ASUNCION";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10103;"AMAZONAS";"CHACHAPOYAS";"BALSAS";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10104;"AMAZONAS";"CHACHAPOYAS";"CHETO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10105;"AMAZONAS";"CHACHAPOYAS";"CHILIQUIN";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10106;"AMAZONAS";"CHACHAPOYAS";"CHUQUIBAMBA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10107;"AMAZONAS";"CHACHAPOYAS";"GRANADA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10108;"AMAZONAS";"CHACHAPOYAS";"HUANCAS";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10109;"AMAZONAS";"CHACHAPOYAS";"LA JALCA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10110;"AMAZONAS";"CHACHAPOYAS";"LEIMEBAMBA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10111;"AMAZONAS";"CHACHAPOYAS";"LEVANTO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10112;"AMAZONAS";"CHACHAPOYAS";"MAGDALENA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10113;"AMAZONAS";"CHACHAPOYAS";"MARISCAL CASTILLA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10114;"AMAZONAS";"CHACHAPOYAS";"MOLINOPAMPA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10115;"AMAZONAS";"CHACHAPOYAS";"MONTEVIDEO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10116;"AMAZONAS";"CHACHAPOYAS";"OLLEROS";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10117;"AMAZONAS";"CHACHAPOYAS";"QUINJALCA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10118;"AMAZONAS";"CHACHAPOYAS";"SAN FRANCISCO DE DAGUAS";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10119;"AMAZONAS";"CHACHAPOYAS";"SAN ISIDRO DE MAINO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10120;"AMAZONAS";"CHACHAPOYAS";"SOLOCO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10121;"AMAZONAS";"CHACHAPOYAS";"SONCHE";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10201;"AMAZONAS";"BAGUA";"BAGUA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10202;"AMAZONAS";"BAGUA";"ARAMANGO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10203;"AMAZONAS";"BAGUA";"COPALLIN";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10204;"AMAZONAS";"BAGUA";"EL PARCO";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10205;"AMAZONAS";"BAGUA";"IMAZA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10206;"AMAZONAS";"BAGUA";"LA PECA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10301;"AMAZONAS";"BONGARA";"JUMBILLA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10302;"AMAZONAS";"BONGARA";"CHISQUILLA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10303;"AMAZONAS";"BONGARA";"CHURUJA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10304;"AMAZONAS";"BONGARA";"COROSHA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10305;"AMAZONAS";"BONGARA";"CUISPES";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
10306;"AMAZONAS";"BONGARA";"FLORIDA";"AMAZONAS";"ORIENTE";"MACROREGION ORIENTE"
