"Id";"name";"MainDependencyId"
1;"CENTRAL DE ABASTECIMIENTO DE BIENES ESTRATÉGICOS";1
2;"CENTRO NACIONAL DE TELEMEDICINA";1
3;"CONSEJO DIRECTIVO";1
4;"GERENCIA CENTRAL DE ASESORÍA JURÍDICA";1
5;"GERENCIA CENTRAL DE ATENCIÓN AL ASEGURADO";1
6;"GERENCIA CENTRAL DE GESTIÓN DE LAS PERSONAS";1
7;"GERENCIA CENTRAL DE GESTIÓN FINANCIERA";1
8;"GERENCIA CENTRAL DE LOGÍSTICA";1
9;"GERENCIA CENTRAL DE OPERACIONES";1
10;"GERENCIA CENTRAL DE PERSONA ADULTA MAYOR Y PERSONA CON DISCAPACIDAD";1
11;"GERENCIA CENTRAL DE PLANEAMIENTO Y PRESUPUESTO";1
12;"GERENCIA CENTRAL DE PRESTACIONES DE SALUD";1
13;"GERENCIA CENTRAL DE PROMOCIÓN Y GESTIÓN DE CONTRATOS DE INVERSIONES";1
14;"GERENCIA CENTRAL DE PROYECTOS DE INVERSIÓN";1
15;"GERENCIA CENTRAL DE SEGUROS Y PRESTACIONES ECONÓMICAS";1
16;"GERENCIA CENTRAL DE TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES";1
17;"GERENCIA DE OFERTA FLEXIBLE";1
18;"GERENCIA DE PROCURA Y TRANSPLANTE";1
19;"GERENCIA GENERAL";1
20;"INSTITUTO DE EVALUACIÓN DE TECNOLOGÍAS EN SALUD E INVESTIGACIÓN";1
21;"OFICINA DE APOYO A LA GESTIÓN";1
22;"OFICINA DE COOPERACIÓN INTERNACIONAL";1
23;"OFICINA DE DEFENSA NACIONAL";1
24;"OFICINA DE GESTIÓN DE LA CALIDAD Y HUMANIZACIÓN";1
25;"OFICINA DE INTEGRIDAD";1
26;"OFICINA DE RELACIONES INSTITUCIONALES";1
27;"ÓRGANO DE CONTROL INSTITUCIONAL";1
28;"PRESIDENCIA EJECUTIVA";1
29;"SECRETARÍA GENERAL";1
30;"SECRETARÍA TÉCNICA DE PROCEDIMIENTOS DISCIPLINARIOS";1
31;"CENTRO NACIONAL DE SALUD RENAL";2
32;"INSTITUTO NACIONAL CARDIOVASCULAR";3
33;"RED ASISTENCIAL AMAZONAS";4
34;"H.I EL BUEN SAMARITANO";4
35;"H.I HÉROES DEL CENEPA";4
36;"H.I HIGOS URCO";4
37;"C.A.P.II RODRÍGUEZ DE MENDOZA";4
38;"C.A.P.II SANTA MARÍA DE NIEVA";4
39;"C.A.P.I IMAZA";4
40;"C.A.P.I LAMUD";4
41;"C.A.P.I LONYA GRANDE";4
42;"C.A.P.I OCALLI";4
43;"C.A.P.I PEDRO RUIZ GALLO";4
44;"RED ASISTENCIAL ANCASH              ";5
45;"H.III CHIMBOTE";5
46;"H.I CONO SUR";5
47;"POL. VICTOR PANTA RODRIGUEZ";5
48;"C.M. CASMA";5
49;"C.M. COISHCO";5
50;"C.M. HUARMEY";5
51;"C.M. SIHUAS";5
52;"C.A.P.II SAN JACINTO";5
53;"P.M. CABANA";5
54;"P.M. CONCHUCOS";5
55;"P.M. PALLASCA";5
56;"P.M. PAMPAS";5
57;"RED ASISTENCIAL APURÍMAC            ";6
58;"H.II ABANCAY";6
59;"H.I ANDAHUAYLAS";6
60;"C.A.P.II CHALHUANCA";6
61;"C.A.P.II CHINCHEROS";6
62;"C.A.P.II COTABAMBAS";6
63;"C.A.P.I ANTABAMBA";6
64;"P.M. CHUQUIBAMBILLA";6
65;"P.M. CURAHUASI";6
66;"RED ASISTENCIAL AREQUIPA";7
67;"H.N. CARLOS ALBERTO SEGUÍN ESCOBEDO";7
68;"H.III YANAHUARA";7
69;"H.II MANUEL DE TORRES MUÑOZ";7
70;"H.I EDMUNDO ESCOMEL";7
71;"H.I SAMUEL PASTOR ";7
72;"POL. METROPOLITANO";7
73;"C.A.P.III ALTO SELVA ALEGRE";7
74;"C.A.P.III CERRO COLORADO";7
75;"C.A.P.III MELITÓN SALAS TEJADA";7
76;"C.A.P.III MIRAFLORES";7
77;"C.A.P.III PAUCARPATA";7
78;"C.M. APLAO";7
79;"C.A.P.II HUNTER";7
80;"P.M. ACARÍ";7
81;"P.M. ATICO";7
82;"P.M. CARAVELÍ";7
83;"P.M. CHALA";7
84;"P.M. CHUCARAPI";7
85;"P.M. CHUQUIBAMBA";7
